id|data_iniSE|casos|ibge_code|cidade|uf|cep|latitude|longitude
88|2015-02-15|0.0|230010|Abaiara|CE|63240-000|-7.3364|-39.0613
89|2015-02-22|0.0|230010|Abaiara|CE|63240-000|-7.3364|-39.0613
90|2015-03-01|0.0|230010|Abaiara|CE|63240-000|-7.3364|-39.0613
91|2015-03-15|0.0|230010|Abaiara|CE|63240-000|-7.3364|-39.0613
92|2015-03-29|0.0|230010|Abaiara|CE|63240-000|-7.3364|-39.0613
93|2015-04-05|0.0|230010|Abaiara|CE|63240-000|-7.3364|-39.0613
94|2015-04-12|0.0|230010|Abaiara|CE|63240-000|-7.3364|-39.0613
95|2015-04-19|0.0|230010|Abaiara|CE|63240-000|-7.3364|-39.0613
96|2015-04-26|0.0|230010|Abaiara|CE|63240-000|-7.3364|-39.0613
97|2015-05-17|0.0|230010|Abaiara|CE|63240-000|-7.3364|-39.0613
98|2015-06-21|0.0|230010|Abaiara|CE|63240-000|-7.3364|-39.0613
99|2015-07-05|0.0|230010|Abaiara|CE|63240-000|-7.3364|-39.0613
100|2015-07-12|0.0|230010|Abaiara|CE|63240-000|-7.3364|-39.0613
101|2015-07-19|0.0|230010|Abaiara|CE|63240-000|-7.3364|-39.0613
102|2015-07-26|0.0|230010|Abaiara|CE|63240-000|-7.3364|-39.0613
103|2015-08-02|0.0|230010|Abaiara|CE|63240-000|-7.3364|-39.0613
104|2015-08-09|0.0|230010|Abaiara|CE|63240-000|-7.3364|-39.0613
105|2015-08-16|0.0|230010|Abaiara|CE|63240-000|-7.3364|-39.0613
106|2015-08-23|0.0|230010|Abaiara|CE|63240-000|-7.3364|-39.0613
107|2015-08-30|0.0|230010|Abaiara|CE|63240-000|-7.3364|-39.0613
108|2015-09-06|0.0|230010|Abaiara|CE|63240-000|-7.3364|-39.0613
109|2015-09-13|0.0|230010|Abaiara|CE|63240-000|-7.3364|-39.0613
113|2015-11-22|0.0|230010|Abaiara|CE|63240-000|-7.3364|-39.0613
114|2015-12-20|0.0|230010|Abaiara|CE|63240-000|-7.3364|-39.0613
256|2015-06-28|0.0|230010|Abaiara|CE|63240-000|-7.3364|-39.0613
263|2015-01-04|0.0|230015|Acarape|CE|62785-000|-4.2057|-38.6916
264|2015-01-11|0.0|230015|Acarape|CE|62785-000|-4.2057|-38.6916
265|2015-01-18|0.0|230015|Acarape|CE|62785-000|-4.2057|-38.6916
266|2015-01-25|0.0|230015|Acarape|CE|62785-000|-4.2057|-38.6916
267|2015-02-01|0.0|230015|Acarape|CE|62785-000|-4.2057|-38.6916
268|2015-02-08|0.0|230015|Acarape|CE|62785-000|-4.2057|-38.6916
269|2015-02-15|0.0|230015|Acarape|CE|62785-000|-4.2057|-38.6916
270|2015-02-22|0.0|230015|Acarape|CE|62785-000|-4.2057|-38.6916
271|2015-03-01|0.0|230015|Acarape|CE|62785-000|-4.2057|-38.6916
272|2015-03-08|0.0|230015|Acarape|CE|62785-000|-4.2057|-38.6916
273|2015-03-15|0.0|230015|Acarape|CE|62785-000|-4.2057|-38.6916
274|2015-03-22|0.0|230015|Acarape|CE|62785-000|-4.2057|-38.6916
275|2015-03-29|0.0|230015|Acarape|CE|62785-000|-4.2057|-38.6916
276|2015-04-05|0.0|230015|Acarape|CE|62785-000|-4.2057|-38.6916
277|2015-04-12|0.0|230015|Acarape|CE|62785-000|-4.2057|-38.6916
278|2015-04-19|0.0|230015|Acarape|CE|62785-000|-4.2057|-38.6916
279|2015-04-26|0.0|230015|Acarape|CE|62785-000|-4.2057|-38.6916
280|2015-05-03|0.0|230015|Acarape|CE|62785-000|-4.2057|-38.6916
281|2015-05-10|0.0|230015|Acarape|CE|62785-000|-4.2057|-38.6916
282|2015-05-17|0.0|230015|Acarape|CE|62785-000|-4.2057|-38.6916
283|2015-05-24|0.0|230015|Acarape|CE|62785-000|-4.2057|-38.6916
284|2015-05-31|0.0|230015|Acarape|CE|62785-000|-4.2057|-38.6916
285|2015-06-07|0.0|230015|Acarape|CE|62785-000|-4.2057|-38.6916
286|2015-06-14|0.0|230015|Acarape|CE|62785-000|-4.2057|-38.6916
287|2015-06-21|0.0|230015|Acarape|CE|62785-000|-4.2057|-38.6916
288|2015-06-28|0.0|230015|Acarape|CE|62785-000|-4.2057|-38.6916
289|2015-07-05|0.0|230015|Acarape|CE|62785-000|-4.2057|-38.6916
290|2015-07-12|0.0|230015|Acarape|CE|62785-000|-4.2057|-38.6916
291|2015-07-19|0.0|230015|Acarape|CE|62785-000|-4.2057|-38.6916
292|2015-07-26|0.0|230015|Acarape|CE|62785-000|-4.2057|-38.6916
293|2015-08-02|0.0|230015|Acarape|CE|62785-000|-4.2057|-38.6916
294|2015-08-09|0.0|230015|Acarape|CE|62785-000|-4.2057|-38.6916
295|2015-08-16|0.0|230015|Acarape|CE|62785-000|-4.2057|-38.6916
296|2015-08-23|0.0|230015|Acarape|CE|62785-000|-4.2057|-38.6916
297|2015-08-30|0.0|230015|Acarape|CE|62785-000|-4.2057|-38.6916
298|2015-09-06|0.0|230015|Acarape|CE|62785-000|-4.2057|-38.6916
299|2015-09-13|0.0|230015|Acarape|CE|62785-000|-4.2057|-38.6916
300|2015-09-20|0.0|230015|Acarape|CE|62785-000|-4.2057|-38.6916
301|2015-09-27|0.0|230015|Acarape|CE|62785-000|-4.2057|-38.6916
306|2015-11-01|0.0|230015|Acarape|CE|62785-000|-4.2057|-38.6916
307|2015-11-08|0.0|230015|Acarape|CE|62785-000|-4.2057|-38.6916
308|2015-11-15|0.0|230015|Acarape|CE|62785-000|-4.2057|-38.6916
309|2015-11-22|0.0|230015|Acarape|CE|62785-000|-4.2057|-38.6916
310|2015-11-29|0.0|230015|Acarape|CE|62785-000|-4.2057|-38.6916
311|2015-12-06|0.0|230015|Acarape|CE|62785-000|-4.2057|-38.6916
312|2015-12-13|0.0|230015|Acarape|CE|62785-000|-4.2057|-38.6916
313|2015-12-20|0.0|230015|Acarape|CE|62785-000|-4.2057|-38.6916
314|2015-12-27|0.0|230015|Acarape|CE|62785-000|-4.2057|-38.6916
525|2015-01-04|0.0|230020|Acaraú|CE|62580-000|-2.9542|-40.086
526|2015-01-11|0.0|230020|Acaraú|CE|62580-000|-2.9542|-40.086
527|2015-01-18|0.0|230020|Acaraú|CE|62580-000|-2.9542|-40.086
528|2015-01-25|0.0|230020|Acaraú|CE|62580-000|-2.9542|-40.086
529|2015-02-01|0.0|230020|Acaraú|CE|62580-000|-2.9542|-40.086
530|2015-02-08|0.0|230020|Acaraú|CE|62580-000|-2.9542|-40.086
531|2015-02-15|0.0|230020|Acaraú|CE|62580-000|-2.9542|-40.086
532|2015-02-22|0.0|230020|Acaraú|CE|62580-000|-2.9542|-40.086
533|2015-03-01|0.0|230020|Acaraú|CE|62580-000|-2.9542|-40.086
534|2015-03-08|0.0|230020|Acaraú|CE|62580-000|-2.9542|-40.086
535|2015-03-15|0.0|230020|Acaraú|CE|62580-000|-2.9542|-40.086
536|2015-03-22|0.0|230020|Acaraú|CE|62580-000|-2.9542|-40.086
537|2015-03-29|0.0|230020|Acaraú|CE|62580-000|-2.9542|-40.086
538|2015-04-05|0.0|230020|Acaraú|CE|62580-000|-2.9542|-40.086
539|2015-04-12|0.0|230020|Acaraú|CE|62580-000|-2.9542|-40.086
540|2015-04-19|0.0|230020|Acaraú|CE|62580-000|-2.9542|-40.086
541|2015-04-26|0.0|230020|Acaraú|CE|62580-000|-2.9542|-40.086
542|2015-05-03|0.0|230020|Acaraú|CE|62580-000|-2.9542|-40.086
543|2015-05-10|0.0|230020|Acaraú|CE|62580-000|-2.9542|-40.086
544|2015-05-17|0.0|230020|Acaraú|CE|62580-000|-2.9542|-40.086
545|2015-05-24|0.0|230020|Acaraú|CE|62580-000|-2.9542|-40.086
546|2015-05-31|0.0|230020|Acaraú|CE|62580-000|-2.9542|-40.086
547|2015-06-07|0.0|230020|Acaraú|CE|62580-000|-2.9542|-40.086
548|2015-06-14|0.0|230020|Acaraú|CE|62580-000|-2.9542|-40.086
549|2015-06-21|0.0|230020|Acaraú|CE|62580-000|-2.9542|-40.086
550|2015-06-28|0.0|230020|Acaraú|CE|62580-000|-2.9542|-40.086
551|2015-07-05|0.0|230020|Acaraú|CE|62580-000|-2.9542|-40.086
552|2015-07-12|0.0|230020|Acaraú|CE|62580-000|-2.9542|-40.086
553|2015-07-19|0.0|230020|Acaraú|CE|62580-000|-2.9542|-40.086
554|2015-07-26|0.0|230020|Acaraú|CE|62580-000|-2.9542|-40.086
555|2015-08-02|0.0|230020|Acaraú|CE|62580-000|-2.9542|-40.086
556|2015-08-09|0.0|230020|Acaraú|CE|62580-000|-2.9542|-40.086
557|2015-08-16|0.0|230020|Acaraú|CE|62580-000|-2.9542|-40.086
558|2015-08-23|0.0|230020|Acaraú|CE|62580-000|-2.9542|-40.086
559|2015-08-30|0.0|230020|Acaraú|CE|62580-000|-2.9542|-40.086
560|2015-09-06|0.0|230020|Acaraú|CE|62580-000|-2.9542|-40.086
561|2015-09-13|0.0|230020|Acaraú|CE|62580-000|-2.9542|-40.086
562|2015-09-20|0.0|230020|Acaraú|CE|62580-000|-2.9542|-40.086
563|2015-09-27|0.0|230020|Acaraú|CE|62580-000|-2.9542|-40.086
568|2015-11-01|0.0|230020|Acaraú|CE|62580-000|-2.9542|-40.086
569|2015-11-08|0.0|230020|Acaraú|CE|62580-000|-2.9542|-40.086
570|2015-11-15|0.0|230020|Acaraú|CE|62580-000|-2.9542|-40.086
571|2015-11-22|0.0|230020|Acaraú|CE|62580-000|-2.9542|-40.086
572|2015-11-29|0.0|230020|Acaraú|CE|62580-000|-2.9542|-40.086
573|2015-12-06|0.0|230020|Acaraú|CE|62580-000|-2.9542|-40.086
574|2015-12-13|0.0|230020|Acaraú|CE|62580-000|-2.9542|-40.086
575|2015-12-20|0.0|230020|Acaraú|CE|62580-000|-2.9542|-40.086
576|2015-12-27|0.0|230020|Acaraú|CE|62580-000|-2.9542|-40.086
787|2015-01-04|0.0|230030|Acopiara|CE|63560-000|-6.1131|-39.5176
788|2015-01-11|0.0|230030|Acopiara|CE|63560-000|-6.1131|-39.5176
789|2015-01-18|0.0|230030|Acopiara|CE|63560-000|-6.1131|-39.5176
790|2015-01-25|0.0|230030|Acopiara|CE|63560-000|-6.1131|-39.5176
791|2015-02-01|0.0|230030|Acopiara|CE|63560-000|-6.1131|-39.5176
792|2015-02-08|0.0|230030|Acopiara|CE|63560-000|-6.1131|-39.5176
793|2015-02-15|0.0|230030|Acopiara|CE|63560-000|-6.1131|-39.5176
794|2015-02-22|0.0|230030|Acopiara|CE|63560-000|-6.1131|-39.5176
795|2015-03-01|0.0|230030|Acopiara|CE|63560-000|-6.1131|-39.5176
796|2015-03-08|0.0|230030|Acopiara|CE|63560-000|-6.1131|-39.5176
797|2015-03-15|0.0|230030|Acopiara|CE|63560-000|-6.1131|-39.5176
798|2015-03-22|0.0|230030|Acopiara|CE|63560-000|-6.1131|-39.5176
799|2015-03-29|0.0|230030|Acopiara|CE|63560-000|-6.1131|-39.5176
800|2015-04-05|0.0|230030|Acopiara|CE|63560-000|-6.1131|-39.5176
801|2015-04-12|0.0|230030|Acopiara|CE|63560-000|-6.1131|-39.5176
802|2015-04-19|0.0|230030|Acopiara|CE|63560-000|-6.1131|-39.5176
803|2015-04-26|0.0|230030|Acopiara|CE|63560-000|-6.1131|-39.5176
804|2015-05-03|0.0|230030|Acopiara|CE|63560-000|-6.1131|-39.5176
805|2015-05-10|0.0|230030|Acopiara|CE|63560-000|-6.1131|-39.5176
806|2015-05-17|0.0|230030|Acopiara|CE|63560-000|-6.1131|-39.5176
807|2015-05-24|0.0|230030|Acopiara|CE|63560-000|-6.1131|-39.5176
808|2015-05-31|0.0|230030|Acopiara|CE|63560-000|-6.1131|-39.5176
809|2015-06-07|0.0|230030|Acopiara|CE|63560-000|-6.1131|-39.5176
810|2015-06-14|0.0|230030|Acopiara|CE|63560-000|-6.1131|-39.5176
811|2015-06-21|0.0|230030|Acopiara|CE|63560-000|-6.1131|-39.5176
812|2015-06-28|1.0|230030|Acopiara|CE|63560-000|-6.1131|-39.5176
813|2015-07-05|0.0|230030|Acopiara|CE|63560-000|-6.1131|-39.5176
814|2015-07-12|0.0|230030|Acopiara|CE|63560-000|-6.1131|-39.5176
815|2015-07-19|0.0|230030|Acopiara|CE|63560-000|-6.1131|-39.5176
816|2015-07-26|0.0|230030|Acopiara|CE|63560-000|-6.1131|-39.5176
817|2015-08-02|0.0|230030|Acopiara|CE|63560-000|-6.1131|-39.5176
818|2015-08-09|0.0|230030|Acopiara|CE|63560-000|-6.1131|-39.5176
819|2015-08-16|0.0|230030|Acopiara|CE|63560-000|-6.1131|-39.5176
820|2015-08-23|0.0|230030|Acopiara|CE|63560-000|-6.1131|-39.5176
821|2015-08-30|0.0|230030|Acopiara|CE|63560-000|-6.1131|-39.5176
822|2015-09-06|0.0|230030|Acopiara|CE|63560-000|-6.1131|-39.5176
823|2015-09-13|0.0|230030|Acopiara|CE|63560-000|-6.1131|-39.5176
824|2015-09-20|0.0|230030|Acopiara|CE|63560-000|-6.1131|-39.5176
825|2015-09-27|0.0|230030|Acopiara|CE|63560-000|-6.1131|-39.5176
830|2015-11-01|0.0|230030|Acopiara|CE|63560-000|-6.1131|-39.5176
831|2015-11-08|0.0|230030|Acopiara|CE|63560-000|-6.1131|-39.5176
832|2015-11-15|0.0|230030|Acopiara|CE|63560-000|-6.1131|-39.5176
833|2015-11-22|0.0|230030|Acopiara|CE|63560-000|-6.1131|-39.5176
834|2015-11-29|0.0|230030|Acopiara|CE|63560-000|-6.1131|-39.5176
835|2015-12-06|0.0|230030|Acopiara|CE|63560-000|-6.1131|-39.5176
836|2015-12-13|0.0|230030|Acopiara|CE|63560-000|-6.1131|-39.5176
837|2015-12-20|0.0|230030|Acopiara|CE|63560-000|-6.1131|-39.5176
838|2015-12-27|0.0|230030|Acopiara|CE|63560-000|-6.1131|-39.5176
1049|2015-01-04|0.0|230040|Aiuaba|CE|63575-000|-6.589|-40.2395
1050|2015-01-11|0.0|230040|Aiuaba|CE|63575-000|-6.589|-40.2395
1051|2015-01-18|0.0|230040|Aiuaba|CE|63575-000|-6.589|-40.2395
1052|2015-01-25|0.0|230040|Aiuaba|CE|63575-000|-6.589|-40.2395
1053|2015-02-01|0.0|230040|Aiuaba|CE|63575-000|-6.589|-40.2395
1054|2015-02-08|1.0|230040|Aiuaba|CE|63575-000|-6.589|-40.2395
1055|2015-02-15|0.0|230040|Aiuaba|CE|63575-000|-6.589|-40.2395
1056|2015-02-22|1.0|230040|Aiuaba|CE|63575-000|-6.589|-40.2395
1057|2015-03-01|2.0|230040|Aiuaba|CE|63575-000|-6.589|-40.2395
1058|2015-03-08|4.0|230040|Aiuaba|CE|63575-000|-6.589|-40.2395
1059|2015-03-15|3.0|230040|Aiuaba|CE|63575-000|-6.589|-40.2395
1060|2015-03-22|0.0|230040|Aiuaba|CE|63575-000|-6.589|-40.2395
1061|2015-03-29|3.0|230040|Aiuaba|CE|63575-000|-6.589|-40.2395
1062|2015-04-05|0.0|230040|Aiuaba|CE|63575-000|-6.589|-40.2395
1063|2015-04-12|1.0|230040|Aiuaba|CE|63575-000|-6.589|-40.2395
1064|2015-04-19|0.0|230040|Aiuaba|CE|63575-000|-6.589|-40.2395
1065|2015-04-26|0.0|230040|Aiuaba|CE|63575-000|-6.589|-40.2395
1066|2015-05-03|0.0|230040|Aiuaba|CE|63575-000|-6.589|-40.2395
1067|2015-05-10|0.0|230040|Aiuaba|CE|63575-000|-6.589|-40.2395
1068|2015-05-17|0.0|230040|Aiuaba|CE|63575-000|-6.589|-40.2395
1069|2015-05-24|0.0|230040|Aiuaba|CE|63575-000|-6.589|-40.2395
1070|2015-05-31|0.0|230040|Aiuaba|CE|63575-000|-6.589|-40.2395
1071|2015-06-07|1.0|230040|Aiuaba|CE|63575-000|-6.589|-40.2395
1072|2015-06-14|0.0|230040|Aiuaba|CE|63575-000|-6.589|-40.2395
1073|2015-06-21|0.0|230040|Aiuaba|CE|63575-000|-6.589|-40.2395
1074|2015-06-28|0.0|230040|Aiuaba|CE|63575-000|-6.589|-40.2395
1075|2015-07-05|0.0|230040|Aiuaba|CE|63575-000|-6.589|-40.2395
1076|2015-07-12|0.0|230040|Aiuaba|CE|63575-000|-6.589|-40.2395
1077|2015-07-19|0.0|230040|Aiuaba|CE|63575-000|-6.589|-40.2395
1078|2015-07-26|0.0|230040|Aiuaba|CE|63575-000|-6.589|-40.2395
1079|2015-08-02|0.0|230040|Aiuaba|CE|63575-000|-6.589|-40.2395
1080|2015-08-09|0.0|230040|Aiuaba|CE|63575-000|-6.589|-40.2395
1081|2015-08-16|0.0|230040|Aiuaba|CE|63575-000|-6.589|-40.2395
1082|2015-08-23|0.0|230040|Aiuaba|CE|63575-000|-6.589|-40.2395
1083|2015-08-30|0.0|230040|Aiuaba|CE|63575-000|-6.589|-40.2395
1084|2015-09-06|0.0|230040|Aiuaba|CE|63575-000|-6.589|-40.2395
1085|2015-09-13|0.0|230040|Aiuaba|CE|63575-000|-6.589|-40.2395
1086|2015-09-20|0.0|230040|Aiuaba|CE|63575-000|-6.589|-40.2395
1087|2015-09-27|0.0|230040|Aiuaba|CE|63575-000|-6.589|-40.2395
1092|2015-11-01|0.0|230040|Aiuaba|CE|63575-000|-6.589|-40.2395
1093|2015-11-08|0.0|230040|Aiuaba|CE|63575-000|-6.589|-40.2395
1094|2015-11-15|0.0|230040|Aiuaba|CE|63575-000|-6.589|-40.2395
1095|2015-11-22|0.0|230040|Aiuaba|CE|63575-000|-6.589|-40.2395
1096|2015-11-29|0.0|230040|Aiuaba|CE|63575-000|-6.589|-40.2395
1097|2015-12-06|0.0|230040|Aiuaba|CE|63575-000|-6.589|-40.2395
1098|2015-12-13|0.0|230040|Aiuaba|CE|63575-000|-6.589|-40.2395
1099|2015-12-20|0.0|230040|Aiuaba|CE|63575-000|-6.589|-40.2395
1100|2015-12-27|0.0|230040|Aiuaba|CE|63575-000|-6.589|-40.2395
1311|2015-01-04|0.0|230050|Alcântaras|CE|62120-000|-3.5873|-40.5552
1312|2015-01-11|0.0|230050|Alcântaras|CE|62120-000|-3.5873|-40.5552
1313|2015-01-18|0.0|230050|Alcântaras|CE|62120-000|-3.5873|-40.5552
1314|2015-01-25|0.0|230050|Alcântaras|CE|62120-000|-3.5873|-40.5552
1315|2015-02-01|0.0|230050|Alcântaras|CE|62120-000|-3.5873|-40.5552
1316|2015-02-08|0.0|230050|Alcântaras|CE|62120-000|-3.5873|-40.5552
1317|2015-02-15|0.0|230050|Alcântaras|CE|62120-000|-3.5873|-40.5552
1318|2015-02-22|0.0|230050|Alcântaras|CE|62120-000|-3.5873|-40.5552
1319|2015-03-01|0.0|230050|Alcântaras|CE|62120-000|-3.5873|-40.5552
1320|2015-03-08|1.0|230050|Alcântaras|CE|62120-000|-3.5873|-40.5552
1321|2015-03-15|1.0|230050|Alcântaras|CE|62120-000|-3.5873|-40.5552
1322|2015-03-22|16.0|230050|Alcântaras|CE|62120-000|-3.5873|-40.5552
1323|2015-03-29|11.0|230050|Alcântaras|CE|62120-000|-3.5873|-40.5552
1324|2015-04-05|46.0|230050|Alcântaras|CE|62120-000|-3.5873|-40.5552
1325|2015-04-12|5.0|230050|Alcântaras|CE|62120-000|-3.5873|-40.5552
1326|2015-04-19|0.0|230050|Alcântaras|CE|62120-000|-3.5873|-40.5552
1327|2015-04-26|0.0|230050|Alcântaras|CE|62120-000|-3.5873|-40.5552
1328|2015-05-03|1.0|230050|Alcântaras|CE|62120-000|-3.5873|-40.5552
1329|2015-05-10|6.0|230050|Alcântaras|CE|62120-000|-3.5873|-40.5552
1330|2015-05-17|20.0|230050|Alcântaras|CE|62120-000|-3.5873|-40.5552
1331|2015-05-24|24.0|230050|Alcântaras|CE|62120-000|-3.5873|-40.5552
1332|2015-05-31|37.0|230050|Alcântaras|CE|62120-000|-3.5873|-40.5552
1333|2015-06-07|42.0|230050|Alcântaras|CE|62120-000|-3.5873|-40.5552
1334|2015-06-14|34.0|230050|Alcântaras|CE|62120-000|-3.5873|-40.5552
1335|2015-06-21|20.0|230050|Alcântaras|CE|62120-000|-3.5873|-40.5552
1336|2015-06-28|26.0|230050|Alcântaras|CE|62120-000|-3.5873|-40.5552
1337|2015-07-05|27.0|230050|Alcântaras|CE|62120-000|-3.5873|-40.5552
1338|2015-07-12|16.0|230050|Alcântaras|CE|62120-000|-3.5873|-40.5552
1339|2015-07-19|10.0|230050|Alcântaras|CE|62120-000|-3.5873|-40.5552
1340|2015-07-26|11.0|230050|Alcântaras|CE|62120-000|-3.5873|-40.5552
1341|2015-08-02|9.0|230050|Alcântaras|CE|62120-000|-3.5873|-40.5552
1342|2015-08-09|2.0|230050|Alcântaras|CE|62120-000|-3.5873|-40.5552
1343|2015-08-16|4.0|230050|Alcântaras|CE|62120-000|-3.5873|-40.5552
1344|2015-08-23|2.0|230050|Alcântaras|CE|62120-000|-3.5873|-40.5552
1345|2015-08-30|3.0|230050|Alcântaras|CE|62120-000|-3.5873|-40.5552
1346|2015-09-06|1.0|230050|Alcântaras|CE|62120-000|-3.5873|-40.5552
1347|2015-09-13|0.0|230050|Alcântaras|CE|62120-000|-3.5873|-40.5552
1348|2015-09-20|0.0|230050|Alcântaras|CE|62120-000|-3.5873|-40.5552
1349|2015-09-27|0.0|230050|Alcântaras|CE|62120-000|-3.5873|-40.5552
1354|2015-11-01|0.0|230050|Alcântaras|CE|62120-000|-3.5873|-40.5552
1355|2015-11-08|0.0|230050|Alcântaras|CE|62120-000|-3.5873|-40.5552
1356|2015-11-15|0.0|230050|Alcântaras|CE|62120-000|-3.5873|-40.5552
1357|2015-11-22|0.0|230050|Alcântaras|CE|62120-000|-3.5873|-40.5552
1358|2015-11-29|1.0|230050|Alcântaras|CE|62120-000|-3.5873|-40.5552
1359|2015-12-06|1.0|230050|Alcântaras|CE|62120-000|-3.5873|-40.5552
1360|2015-12-13|0.0|230050|Alcântaras|CE|62120-000|-3.5873|-40.5552
1361|2015-12-20|2.0|230050|Alcântaras|CE|62120-000|-3.5873|-40.5552
1362|2015-12-27|0.0|230050|Alcântaras|CE|62120-000|-3.5873|-40.5552
1573|2015-01-04|0.0|230060|Altaneira|CE|63195-000|-6.9874|-39.7274
1574|2015-01-11|0.0|230060|Altaneira|CE|63195-000|-6.9874|-39.7274
1575|2015-01-18|0.0|230060|Altaneira|CE|63195-000|-6.9874|-39.7274
1576|2015-01-25|0.0|230060|Altaneira|CE|63195-000|-6.9874|-39.7274
1577|2015-02-01|0.0|230060|Altaneira|CE|63195-000|-6.9874|-39.7274
1578|2015-02-08|0.0|230060|Altaneira|CE|63195-000|-6.9874|-39.7274
1579|2015-02-15|0.0|230060|Altaneira|CE|63195-000|-6.9874|-39.7274
1580|2015-02-22|0.0|230060|Altaneira|CE|63195-000|-6.9874|-39.7274
1581|2015-03-01|0.0|230060|Altaneira|CE|63195-000|-6.9874|-39.7274
1582|2015-03-08|0.0|230060|Altaneira|CE|63195-000|-6.9874|-39.7274
1583|2015-03-15|0.0|230060|Altaneira|CE|63195-000|-6.9874|-39.7274
1584|2015-03-22|0.0|230060|Altaneira|CE|63195-000|-6.9874|-39.7274
1585|2015-03-29|0.0|230060|Altaneira|CE|63195-000|-6.9874|-39.7274
1586|2015-04-05|0.0|230060|Altaneira|CE|63195-000|-6.9874|-39.7274
1587|2015-04-12|0.0|230060|Altaneira|CE|63195-000|-6.9874|-39.7274
1588|2015-04-19|0.0|230060|Altaneira|CE|63195-000|-6.9874|-39.7274
1589|2015-04-26|0.0|230060|Altaneira|CE|63195-000|-6.9874|-39.7274
1590|2015-05-03|0.0|230060|Altaneira|CE|63195-000|-6.9874|-39.7274
1591|2015-05-10|0.0|230060|Altaneira|CE|63195-000|-6.9874|-39.7274
1592|2015-05-17|0.0|230060|Altaneira|CE|63195-000|-6.9874|-39.7274
1593|2015-05-24|0.0|230060|Altaneira|CE|63195-000|-6.9874|-39.7274
1594|2015-05-31|0.0|230060|Altaneira|CE|63195-000|-6.9874|-39.7274
1595|2015-06-07|0.0|230060|Altaneira|CE|63195-000|-6.9874|-39.7274
1596|2015-06-14|0.0|230060|Altaneira|CE|63195-000|-6.9874|-39.7274
1597|2015-06-21|0.0|230060|Altaneira|CE|63195-000|-6.9874|-39.7274
1598|2015-06-28|0.0|230060|Altaneira|CE|63195-000|-6.9874|-39.7274
1599|2015-07-05|0.0|230060|Altaneira|CE|63195-000|-6.9874|-39.7274
1600|2015-07-12|0.0|230060|Altaneira|CE|63195-000|-6.9874|-39.7274
1601|2015-07-19|0.0|230060|Altaneira|CE|63195-000|-6.9874|-39.7274
1602|2015-07-26|0.0|230060|Altaneira|CE|63195-000|-6.9874|-39.7274
1603|2015-08-02|0.0|230060|Altaneira|CE|63195-000|-6.9874|-39.7274
1604|2015-08-09|0.0|230060|Altaneira|CE|63195-000|-6.9874|-39.7274
1605|2015-08-16|0.0|230060|Altaneira|CE|63195-000|-6.9874|-39.7274
1606|2015-08-23|0.0|230060|Altaneira|CE|63195-000|-6.9874|-39.7274
1607|2015-08-30|0.0|230060|Altaneira|CE|63195-000|-6.9874|-39.7274
1608|2015-09-06|0.0|230060|Altaneira|CE|63195-000|-6.9874|-39.7274
1609|2015-09-13|0.0|230060|Altaneira|CE|63195-000|-6.9874|-39.7274
1610|2015-09-20|0.0|230060|Altaneira|CE|63195-000|-6.9874|-39.7274
1611|2015-09-27|0.0|230060|Altaneira|CE|63195-000|-6.9874|-39.7274
1616|2015-11-01|0.0|230060|Altaneira|CE|63195-000|-6.9874|-39.7274
1617|2015-11-08|0.0|230060|Altaneira|CE|63195-000|-6.9874|-39.7274
