UF;YEAR;MONTH;CHUVA;DENGUE
ES;2018;07;140.8;1861.0
ES;2018;08;1028.0;1221.0
ES;2018;09;362.2;954.0
ES;2018;10;1315.8;801.0
ES;2018;11;2629.6;954.0
ES;2018;12;2529.4;1729.0
MG;2018;01;10065.4;355.0
MG;2018;02;12611.4;219.0
MG;2018;03;9066.6;171.0
MG;2018;04;3096.2;265.0
MG;2018;05;1431.4;102.0
MG;2018;06;481.0;43.0
MG;2018;07;293.6;30.0
MG;2018;08;2235.4;26.0
MG;2018;09;2938.2;49.0
MG;2018;10;8640.0;84.0
MG;2018;11;16094.6;111.0
MG;2018;12;15762.2;69.0
RJ;2018;01;5921.4;1761.0
RJ;2018;02;4348.4;2079.0
RJ;2018;03;4477.6;3571.0
RJ;2018;04;2187.6;4382.0
RJ;2018;05;1471.2;1850.0
RJ;2018;06;1083.0;1006.0
RJ;2018;07;797.4;864.0
RJ;2018;08;1909.0;435.0
RJ;2018;09;1909.2;397.0
RJ;2018;10;3095.2;352.0
RJ;2018;11;5465.4;507.0
RJ;2018;12;3036.2;905.0
CE;2018;01;759.6;962.0
CE;2018;02;1983.0;1339.0
CE;2018;03;1542.0;1717.0
CE;2018;04;2000.2;3192.0
CE;2018;05;811.0;1265.0
CE;2018;06;174.6;932.0
CE;2018;07;363.2;1019.0
CE;2018;08;132.4;708.0
CE;2018;09;24.0;635.0
CE;2018;10;86.0;393.0
CE;2018;11;317.8;345.0
CE;2018;12;1381.6;334.0
PR;2018;01;6024.2;2747.0
PR;2018;02;2724.2;2084.0
PR;2018;03;4377.0;1844.0
PR;2018;04;592.4;2446.0
PR;2018;05;1129.2;1098.0
PR;2018;06;2088.6;754.0
PR;2018;07;219.6;984.0
PR;2018;08;2152.8;564.0
PR;2018;09;3238.2;1051.0
PR;2018;10;5534.8;1099.0
PR;2018;11;2432.2;1444.0
PR;2018;12;1968.4;2955.0
SP;2018;01;9322.2;407.0
SP;2018;02;5156.4;372.0
SP;2018;03;6245.2;481.0
SP;2018;04;1605.8;671.0
SP;2018;05;1054.6;562.0
SP;2018;06;930.6;311.0
SP;2018;07;480.0;273.0
SP;2018;08;2383.2;251.0
SP;2018;09;3353.4;251.0
SP;2018;10;6952.6;259.0
SP;2018;11;6890.2;374.0
SP;2018;12;5207.2;1032.0
RS;2018;01;6684.6;0.0
RS;2018;02;3221.2;0.0
RS;2018;03;6457.4;0.0
RS;2018;04;3474.0;0.0
RS;2018;05;4574.0;0.0
RS;2018;06;4917.2;0.0
RS;2018;07;6018.0;0.0
RS;2018;08;5657.0;0.0
RS;2018;09;7434.8;0.0
RS;2018;10;6385.4;0.0
RS;2018;11;7293.4;0.0
RS;2018;12;5207.4;7.0
RJ;2019;01;2660.0;1422.0
RJ;2019;02;6483.6;1652.0
RJ;2019;03;5905.2;4247.0
RJ;2019;04;3465.8;6037.0
RJ;2019;05;3707.6;7207.0
RJ;2019;06;1058.8;3903.0
RJ;2019;07;746.8;1169.0
RJ;2019;08;1793.2;659.0
RJ;2019;09;2692.8;608.0
RJ;2019;10;1960.6;471.0
RJ;2019;11;4604.4;515.0
RJ;2019;12;4509.0;776.0
SP;2019;01;6054.0;6053.0
SP;2019;02;8842.6;15165.0
SP;2019;03;6784.0;25134.0
SP;2019;04;4276.2;17806.0
SP;2019;05;3183.0;10306.0
SP;2019;06;1243.4;3659.0
SP;2019;07;1961.2;699.0
SP;2019;08;985.6;322.0
SP;2019;09;2510.8;741.0
SP;2019;10;2585.4;297.0
SP;2019;11;5480.2;103.0
SP;2019;12;6569.2;142.0
MG;2019;01;4062.8;632.0
MG;2019;02;12571.2;1383.0
MG;2019;03;9871.2;4402.0
MG;2019;04;6280.8;9677.0
MG;2019;05;2789.0;8108.0
MG;2019;06;592.2;2047.0
MG;2019;07;425.8;287.0
MG;2019;08;722.6;88.0
MG;2019;09;2380.2;119.0
MG;2019;10;4301.6;69.0
MG;2019;11;11471.8;3.0
MG;2019;12;12323.6;0.0
